"Migrated","FileName","Bytes","SameNameCount","SameNameOther","SameSizeCount","SameSizeOther"
"diffusion_models\WAN2.2\Remix_I2V-GGUF_V21_highQ40.gguf","Remix_I2V-GGUF_V21_highQ40.gguf","9651728896","1","","4","diffusion_models\Wan2.2\Remix_I2V-GGUF_V21_lowQ40.gguf | diffusion_models\Wan2.2\smoothMix_Wan22-I2V_V20_highQ4KM.gguf | diffusion_models\Wan2.2\smoothMix_Wan22-I2V_V20_lowQ4KM.gguf"
"diffusion_models\WAN2.2\Remix_I2V-GGUF_V21_lowQ40.gguf","Remix_I2V-GGUF_V21_lowQ40.gguf","9651728896","1","","4","diffusion_models\Wan2.2\Remix_I2V-GGUF_V21_highQ40.gguf | diffusion_models\Wan2.2\smoothMix_Wan22-I2V_V20_highQ4KM.gguf | diffusion_models\Wan2.2\smoothMix_Wan22-I2V_V20_lowQ4KM.gguf"
"diffusion_models\WAN2.2\Remix_NSFW_i2v_14b_high_lighting_fp8_e4m3fn_v2.1.safetensors","Remix_NSFW_i2v_14b_high_lighting_fp8_e4m3fn_v2.1.safetensors","14291297968","1","","2","diffusion_models\Wan2.2\Remix_NSFW_i2v_14b_low_lighting_fp8_e4m3fn_v2.1.safetensors"
"diffusion_models\WAN2.2\Remix_NSFW_i2v_14b_low_lighting_fp8_e4m3fn_v2.1.safetensors","Remix_NSFW_i2v_14b_low_lighting_fp8_e4m3fn_v2.1.safetensors","14291297968","1","","2","diffusion_models\Wan2.2\Remix_NSFW_i2v_14b_high_lighting_fp8_e4m3fn_v2.1.safetensors"
"diffusion_models\WAN2.2\Remix_NSFW_t2v_14b_high_lighting_v2.0.safetensors","Remix_NSFW_t2v_14b_high_lighting_v2.0.safetensors","14289633736","1","","2","diffusion_models\Wan2.2\Remix_NSFW_t2v_14b_low_lighting_v2.0.safetensors"
"diffusion_models\WAN2.2\Remix_NSFW_t2v_14b_low_lighting_v2.0.safetensors","Remix_NSFW_t2v_14b_low_lighting_v2.0.safetensors","14289633736","1","","2","diffusion_models\Wan2.2\Remix_NSFW_t2v_14b_high_lighting_v2.0.safetensors"
"diffusion_models\WAN2.2\smoothMix_Wan2214B-I2V_i2v_V20_High.safetensors","smoothMix_Wan2214B-I2V_i2v_V20_High.safetensors","14550099704","1","","1",""
"diffusion_models\WAN2.2\smoothMix_Wan2214B-I2V_i2v_V20_Low.safetensors","smoothMix_Wan2214B-I2V_i2v_V20_Low.safetensors","14550099768","1","","1",""
"diffusion_models\WAN2.2\smoothMix_Wan22-I2V_V20_highQ4KM.gguf","smoothMix_Wan22-I2V_V20_highQ4KM.gguf","9651728896","1","","4","diffusion_models\Wan2.2\Remix_I2V-GGUF_V21_highQ40.gguf | diffusion_models\Wan2.2\Remix_I2V-GGUF_V21_lowQ40.gguf | diffusion_models\Wan2.2\smoothMix_Wan22-I2V_V20_lowQ4KM.gguf"
"diffusion_models\WAN2.2\smoothMix_Wan22-I2V_V20_lowQ4KM.gguf","smoothMix_Wan22-I2V_V20_lowQ4KM.gguf","9651728896","1","","4","diffusion_models\Wan2.2\Remix_I2V-GGUF_V21_highQ40.gguf | diffusion_models\Wan2.2\Remix_I2V-GGUF_V21_lowQ40.gguf | diffusion_models\Wan2.2\smoothMix_Wan22-I2V_V20_highQ4KM.gguf"
"diffusion_models\WAN2.2\smoothMix_Wan22-T2V_V20_highQ6K.gguf","smoothMix_Wan22-T2V_V20_highQ6K.gguf","12011199104","1","","1",""
"diffusion_models\WAN2.2\smoothMix_Wan22-T2V_V20_lowQ6K.gguf","smoothMix_Wan22-T2V_V20_lowQ6K.gguf","12001372704","1","","1",""
"mmaudio\apple_DFN5B-CLIP-ViT-H-14-384_fp16.safetensors","apple_DFN5B-CLIP-ViT-H-14-384_fp16.safetensors","1973509450","1","","1",""
"mmaudio\mmaudio_large_44k_nsfw_gold_8.5k_final_fp16.safetensors","mmaudio_large_44k_nsfw_gold_8.5k_final_fp16.safetensors","2060050528","1","","1",""
"mmaudio\mmaudio_synchformer_fp16.safetensors","mmaudio_synchformer_fp16.safetensors","474981098","1","","1",""
"mmaudio\mmaudio_vae_44k_fp16.safetensors","mmaudio_vae_44k_fp16.safetensors","610966060","1","","1",""
